Detected	Gain	Correct Count	Step Size	Subject Number	Height	Age	Sex	RA Name	Other
True	1	1	0.05				Male		
True	-0.95	2	0.05				Male		
True	0.9	3	0.05				Male		
True	-0.85	4	0.05				Male		
False	0.8	4	0.05				Male		
True	-0.7499999	5	0.05				Male		
True	0.6999999	6	0.05				Male		
True	-0.6499999	7	0.05				Male		
True	0.5999999	8	0.05				Male		
True	-0.5499999	9	0.05				Male		
True	0.6	1	0.03				Male		
True	-0.5700001	2	0.03				Male		
True	0.5400001	3	0.03				Male		
True	-0.5100001	4	0.03				Male		
True	0.4800001	5	0.03				Male		
True	-0.4500001	6	0.03				Male		
True	0.4200001	7	0.03				Male		
True	-0.3900001	8	0.03				Male		
True	0.3600001	9	0.03				Male		
True	-0.3300001	10	0.03				Male		
True	0.36	1	0.018				Male		
True	-0.342	2	0.018				Male		
False	0.324	2	0.018				Male		
True	-0.306	3	0.018				Male		
True	0.288	4	0.018				Male		
True	-0.27	5	0.018				Male		
True	0.252	6	0.018				Male		
True	-0.234	7	0.018				Male		
True	0.216	8	0.018				Male		
True	-0.198	9	0.018				Male		
True	0.216	1	0.0108				Male		
True	-0.2052	2	0.0108				Male		
True	0.1944	3	0.0108				Male		
True	-0.1836	4	0.0108				Male		
True	0.1728	5	0.0108				Male		
False	-0.162	5	0.0108				Male		
False	0.1512	5	0.0108				Male		
False	-0.1404	5	0.0108				Male		
True	0.1296	6	0.0108				Male		
True	-0.1188	7	0.0108				Male		
False	0.1296	0	0.006480001				Male		
False	-0.12312	0	0.006480001				Male		
True	0.11664	1	0.006480001				Male		
True	-0.11016	2	0.006480001				Male		
True	0.10368	3	0.006480001				Male		
False	-0.09720001	3	0.006480001				Male		
True	0.09072001	4	0.006480001				Male		
True	-0.08424001	5	0.006480001				Male		
True	0.07776001	6	0.006480001				Male		
False	-0.07128001	6	0.006480001				Male		
False	0.1296	0	0.006480001				Male		
False	-0.12312	0	0.006480001				Male		
True	0.11664	1	0.006480001				Male		
True	-0.11016	2	0.006480001				Male		
True	0.10368	3	0.006480001				Male		
True	-0.09720001	4	0.006480001				Male		
False	0.09072001	4	0.006480001				Male		
False	-0.08424001	4	0.006480001				Male		
False	0.07776001	4	0.006480001				Male		
True	-0.07128001	5	0.006480001				Male		
True	0.1296	1	0.006480001				Male		
True	-0.12312	2	0.006480001				Male		
False	0.11664	2	0.006480001				Male		
True	-0.11016	3	0.006480001				Male		
False	0.10368	3	0.006480001				Male		
True	-0.09720001	4	0.006480001				Male		
False	0.09072001	4	0.006480001				Male		
True	-0.08424001	5	0.006480001				Male		
False	0.07776001	5	0.006480001				Male		
True	-0.07128001	6	0.006480001				Male		
True	0.1296	1	0.006480001				Male		
False	-0.12312	1	0.006480001				Male		
True	0.11664	2	0.006480001				Male		
True	-0.11016	3	0.006480001				Male		
False	0.10368	3	0.006480001				Male		
False	-0.09720001	3	0.006480001				Male		
False	0.09072001	3	0.006480001				Male		
True	-0.08424001	4	0.006480001				Male		
True	0.07776001	5	0.006480001				Male		
False	-0.07128001	5	0.006480001				Male		
True	-1	1	0.05	1	72	21	Male	Ryan	Test data
False	1	0	0.05	2	41	21	Male	bob	test
False	-0.95	0	0.05	2	41	21	Male	bob	test
True	0.9	1	0.05	2	41	21	Male	bob	test
True	-0.85	2	0.05	2	41	21	Male	bob	test
False	0.8	2	0.05	2	41	21	Male	bob	test
False	-0.7499999	2	0.05	2	41	21	Male	bob	test
True	0.6999999	3	0.05	2	41	21	Male	bob	test
False	-0.6499999	3	0.05	2	41	21	Male	bob	test
False	0.5999999	3	0.05	2	41	21	Male	bob	test
False	-0.5499999	3	0.05	2	41	21	Male	bob	test
True	1	1	0.05	2	41	21	Male	bob	test
True	-0.95	2	0.05	2	41	21	Male	bob	test
False	0.9	2	0.05	2	41	21	Male	bob	test
True	-0.85	3	0.05	2	41	21	Male	bob	test
True	0.8	4	0.05	2	41	21	Male	bob	test
True	-0.7499999	5	0.05	2	41	21	Male	bob	test
False	0.6999999	5	0.05	2	41	21	Male	bob	test
True	-0.6499999	6	0.05	2	41	21	Male	bob	test
True	0.5999999	7	0.05	2	41	21	Male	bob	test
